memberId,xSpawn,ySpawn,gender,xWidth,yLength
0,0,0,m,13,9
1,13,0,m,13,9
2,26,0,m,13,9
3,39,0,m,13,9
4,52,0,m,13,9
5,65,0,m,13,9
6,78,0,m,13,9
7,91,0,m,13,9
8,104,0,m,13,9
9,117,0,m,13,9
10,130,0,m,13,9
11,143,0,m,13,9
12,0,9,m,13,9
13,13,9,m,13,9
14,26,9,m,13,9
15,39,9,m,13,9
16,52,9,m,13,9
17,65,9,m,13,9
18,78,9,m,13,9
19,91,9,m,13,9
20,104,9,m,13,9
21,117,9,m,13,9
22,130,9,m,13,9
23,143,9,m,13,9
24,0,18,m,13,9
25,13,18,m,13,9
26,26,18,m,13,9
27,39,18,m,13,9
28,52,18,m,13,9
29,65,18,m,13,9
30,78,18,m,13,9
31,91,18,m,13,9
32,104,18,m,13,9
33,117,18,m,13,9
34,130,18,m,13,9
35,143,18,m,13,9
36,0,27,m,13,9
37,13,27,m,13,9
38,26,27,m,13,9
39,39,27,m,13,9
40,52,27,m,13,9
41,65,27,m,13,9
42,78,27,m,13,9
43,91,27,m,13,9
44,104,27,m,13,9
45,117,27,m,13,9
46,130,27,m,13,9
47,143,27,m,13,9
48,0,36,m,13,9
49,13,36,m,13,9
50,26,36,m,13,9
51,39,36,m,13,9
52,52,36,m,13,9
53,65,36,m,13,9
54,78,36,m,13,9
55,91,36,m,13,9
56,104,36,m,13,9
57,117,36,m,13,9
58,130,36,m,13,9
59,143,36,m,13,9
60,0,45,m,13,9
61,13,45,m,13,9
62,26,45,m,13,9
63,39,45,m,13,9
64,52,45,m,13,9
65,65,45,m,13,9
66,78,45,m,13,9
67,91,45,m,13,9
68,104,45,m,13,9
69,117,45,m,13,9
70,130,45,m,13,9
71,143,45,m,13,9
72,0,54,m,13,9
73,13,54,m,13,9
74,26,54,m,13,9
75,39,54,m,13,9
76,52,54,m,13,9
77,65,54,m,13,9
78,78,54,m,13,9
79,91,54,m,13,9
80,104,54,m,13,9
81,117,54,m,13,9
82,130,54,m,13,9
83,143,54,m,13,9
84,0,63,m,13,9
85,13,63,m,13,9
86,26,63,m,13,9
87,39,63,m,13,9
88,52,63,m,13,9
89,65,63,m,13,9
90,78,63,m,13,9
91,91,63,m,13,9
92,104,63,m,13,9
93,117,63,m,13,9
94,130,63,m,13,9
95,143,63,m,13,9
96,0,72,m,13,9
97,13,72,m,13,9
98,26,72,m,13,9
99,39,72,m,13,9
100,52,72,m,13,9
101,65,72,m,13,9
102,78,72,m,13,9
103,91,72,m,13,9
104,104,72,m,13,9
105,117,72,m,13,9
106,130,72,m,13,9
107,143,72,m,13,9
108,0,81,m,13,9
109,13,81,m,13,9
110,26,81,m,13,9
111,39,81,m,13,9
112,52,81,m,13,9
113,65,81,m,13,9
114,78,81,m,13,9
115,91,81,m,13,9
116,104,81,m,13,9
117,117,81,m,13,9
118,130,81,m,13,9
119,143,81,m,13,9
120,0,90,m,13,9
121,13,90,m,13,9
122,26,90,m,13,9
123,39,90,m,13,9
124,52,90,m,13,9
125,65,90,m,13,9
126,78,90,m,13,9
127,91,90,m,13,9
128,104,90,m,13,9
129,117,90,m,13,9
130,130,90,m,13,9
131,143,90,m,13,9
132,0,99,m,13,9
133,13,99,m,13,9
134,26,99,m,13,9
135,39,99,m,13,9
136,52,99,m,13,9
137,65,99,m,13,9
138,78,99,m,13,9
139,91,99,m,13,9
140,104,99,m,13,9
141,117,99,m,13,9
142,130,99,m,13,9
143,143,99,m,13,9
144,0,108,m,13,9
145,13,108,m,13,9
146,26,108,m,13,9
147,39,108,m,13,9
148,52,108,m,13,9
149,65,108,m,13,9
150,78,108,m,13,9
151,91,108,m,13,9
152,104,108,m,13,9
153,117,108,m,13,9
154,130,108,m,13,9
155,143,108,m,13,9
