memberId,xSpawn,ySpawn,gender,xWidth,yLength
0,0,0,m,12,10
1,12,0,m,12,10
2,24,0,m,12,10
3,36,0,m,12,10
4,48,0,m,12,10
5,60,0,m,12,10
6,72,0,m,12,10
7,84,0,m,12,10
8,96,0,m,12,10
9,108,0,m,12,10
10,120,0,m,12,10
11,132,0,m,12,10
12,0,10,m,12,10
13,12,10,m,12,10
14,24,10,m,12,10
15,36,10,m,12,10
16,48,10,m,12,10
17,60,10,m,12,10
18,72,10,m,12,10
19,84,10,m,12,10
20,96,10,m,12,10
21,108,10,m,12,10
22,120,10,m,12,10
23,132,10,m,12,10
24,0,20,m,12,10
25,12,20,m,12,10
26,24,20,m,12,10
27,36,20,m,12,10
28,48,20,m,12,10
29,60,20,m,12,10
30,72,20,m,12,10
31,84,20,m,12,10
32,96,20,m,12,10
33,108,20,m,12,10
34,120,20,m,12,10
35,132,20,m,12,10
36,0,30,m,12,10
37,12,30,m,12,10
38,24,30,m,12,10
39,36,30,m,12,10
40,48,30,m,12,10
41,60,30,m,12,10
42,72,30,m,12,10
43,84,30,m,12,10
44,96,30,m,12,10
45,108,30,m,12,10
46,120,30,m,12,10
47,132,30,m,12,10
48,0,40,m,12,10
49,12,40,m,12,10
50,24,40,m,12,10
51,36,40,m,12,10
52,48,40,m,12,10
53,60,40,m,12,10
54,72,40,m,12,10
55,84,40,m,12,10
56,96,40,m,12,10
57,108,40,m,12,10
58,120,40,m,12,10
59,132,40,m,12,10
60,0,50,m,12,10
61,12,50,m,12,10
62,24,50,m,12,10
63,36,50,m,12,10
64,48,50,m,12,10
65,60,50,m,12,10
66,72,50,m,12,10
67,84,50,m,12,10
68,96,50,m,12,10
69,108,50,m,12,10
70,120,50,m,12,10
71,132,50,m,12,10
72,0,60,m,12,10
73,12,60,m,12,10
74,24,60,m,12,10
75,36,60,m,12,10
76,48,60,m,12,10
77,60,60,m,12,10
78,72,60,m,12,10
79,84,60,m,12,10
80,96,60,m,12,10
81,108,60,m,12,10
82,120,60,m,12,10
83,132,60,m,12,10
84,0,70,m,12,10
85,12,70,m,12,10
86,24,70,m,12,10
87,36,70,m,12,10
88,48,70,m,12,10
89,60,70,m,12,10
90,72,70,m,12,10
91,84,70,m,12,10
92,96,70,m,12,10
93,108,70,m,12,10
94,120,70,m,12,10
95,132,70,m,12,10
96,0,80,m,12,10
97,12,80,m,12,10
98,24,80,m,12,10
99,36,80,m,12,10
100,48,80,m,12,10
101,60,80,m,12,10
102,72,80,m,12,10
103,84,80,m,12,10
104,96,80,m,12,10
105,108,80,m,12,10
106,120,80,m,12,10
107,132,80,m,12,10
108,0,90,m,12,10
109,12,90,m,12,10
110,24,90,m,12,10
111,36,90,m,12,10
112,48,90,m,12,10
113,60,90,m,12,10
114,72,90,m,12,10
115,84,90,m,12,10
116,96,90,m,12,10
117,108,90,m,12,10
118,120,90,m,12,10
119,132,90,m,12,10
120,0,100,m,12,10
121,12,100,m,12,10
122,24,100,m,12,10
123,36,100,m,12,10
124,48,100,m,12,10
125,60,100,m,12,10
126,72,100,m,12,10
127,84,100,m,12,10
128,96,100,m,12,10
129,108,100,m,12,10
130,120,100,m,12,10
131,132,100,m,12,10
132,0,110,m,12,9
133,12,110,m,12,9
134,24,110,m,12,9
135,36,110,m,12,9
136,48,110,m,12,9
137,60,110,m,12,9
138,72,110,m,12,9
139,84,110,m,12,9
140,96,110,m,12,9
141,108,110,m,12,9
142,120,110,m,12,9
143,132,110,m,12,9
