memberId,xSpawn,ySpawn,gender,xWidth,yLength
0,0,0,m,12,10
1,12,0,m,12,10
2,24,0,m,12,10
3,36,0,m,12,10
4,48,0,m,12,10
5,60,0,m,12,10
6,72,0,m,12,10
7,84,0,m,12,10
8,96,0,m,12,10
9,0,10,m,12,10
10,12,10,m,12,10
11,24,10,m,12,10
12,36,10,m,12,10
13,48,10,m,12,10
14,60,10,m,12,10
15,72,10,m,12,10
16,84,10,m,12,10
17,96,10,m,12,10
18,0,20,m,12,10
19,12,20,m,12,10
20,24,20,m,12,10
21,36,20,m,12,10
22,48,20,m,12,10
23,60,20,m,12,10
24,72,20,m,12,10
25,84,20,m,12,10
26,96,20,m,12,10
27,0,30,m,12,10
28,12,30,m,12,10
29,24,30,m,12,10
30,36,30,m,12,10
31,48,30,m,12,10
32,60,30,m,12,10
33,72,30,m,12,10
34,84,30,m,12,10
35,96,30,m,12,10
36,0,40,m,12,10
37,12,40,m,12,10
38,24,40,m,12,10
39,36,40,m,12,10
40,48,40,m,12,10
41,60,40,m,12,10
42,72,40,m,12,10
43,84,40,m,12,10
44,96,40,m,12,10
45,0,50,m,12,10
46,12,50,m,12,10
47,24,50,m,12,10
48,36,50,m,12,10
49,48,50,m,12,10
50,60,50,m,12,10
51,72,50,m,12,10
52,84,50,m,12,10
53,96,50,m,12,10
54,0,60,m,12,10
55,12,60,m,12,10
56,24,60,m,12,10
57,36,60,m,12,10
58,48,60,m,12,10
59,60,60,m,12,10
60,72,60,m,12,10
61,84,60,m,12,10
62,96,60,m,12,10
63,0,70,m,12,10
64,12,70,m,12,10
65,24,70,m,12,10
66,36,70,m,12,10
67,48,70,m,12,10
68,60,70,m,12,10
69,72,70,m,12,10
70,84,70,m,12,10
71,96,70,m,12,10
72,0,80,m,12,10
73,12,80,m,12,10
74,24,80,m,12,10
75,36,80,m,12,10
76,48,80,m,12,10
77,60,80,m,12,10
78,72,80,m,12,10
79,84,80,m,12,10
80,96,80,m,12,10
