memberId,xSpawn,ySpawn,gender,xWidth,yLength
0,0,0,m,15,7
1,15,0,m,15,7
2,30,0,m,15,7
3,45,0,m,15,7
4,60,0,m,15,7
5,75,0,m,15,7
6,90,0,m,15,7
7,105,0,m,15,7
8,120,0,m,15,7
9,135,0,m,15,7
10,150,0,m,15,7
11,165,0,m,13,7
12,0,7,m,15,7
13,15,7,m,15,7
14,30,7,m,15,7
15,45,7,m,15,7
16,60,7,m,15,7
17,75,7,m,15,7
18,90,7,m,15,7
19,105,7,m,15,7
20,120,7,m,15,7
21,135,7,m,15,7
22,150,7,m,15,7
23,165,7,m,13,7
24,0,14,m,15,7
25,15,14,m,15,7
26,30,14,m,15,7
27,45,14,m,15,7
28,60,14,m,15,7
29,75,14,m,15,7
30,90,14,m,15,7
31,105,14,m,15,7
32,120,14,m,15,7
33,135,14,m,15,7
34,150,14,m,15,7
35,165,14,m,13,7
36,0,21,m,15,7
37,15,21,m,15,7
38,30,21,m,15,7
39,45,21,m,15,7
40,60,21,m,15,7
41,75,21,m,15,7
42,90,21,m,15,7
43,105,21,m,15,7
44,120,21,m,15,7
45,135,21,m,15,7
46,150,21,m,15,7
47,165,21,m,13,7
48,0,28,m,15,7
49,15,28,m,15,7
50,30,28,m,15,7
51,45,28,m,15,7
52,60,28,m,15,7
53,75,28,m,15,7
54,90,28,m,15,7
55,105,28,m,15,7
56,120,28,m,15,7
57,135,28,m,15,7
58,150,28,m,15,7
59,165,28,m,13,7
60,0,35,m,15,7
61,15,35,m,15,7
62,30,35,m,15,7
63,45,35,m,15,7
64,60,35,m,15,7
65,75,35,m,15,7
66,90,35,m,15,7
67,105,35,m,15,7
68,120,35,m,15,7
69,135,35,m,15,7
70,150,35,m,15,7
71,165,35,m,13,7
72,0,42,m,15,7
73,15,42,m,15,7
74,30,42,m,15,7
75,45,42,m,15,7
76,60,42,m,15,7
77,75,42,m,15,7
78,90,42,m,15,7
79,105,42,m,15,7
80,120,42,m,15,7
81,135,42,m,15,7
82,150,42,m,15,7
83,165,42,m,13,7
84,0,49,m,15,7
85,15,49,m,15,7
86,30,49,m,15,7
87,45,49,m,15,7
88,60,49,m,15,7
89,75,49,m,15,7
90,90,49,m,15,7
91,105,49,m,15,7
92,120,49,m,15,7
93,135,49,m,15,7
94,150,49,m,15,7
95,165,49,m,13,7
96,0,56,m,15,7
97,15,56,m,15,7
98,30,56,m,15,7
99,45,56,m,15,7
100,60,56,m,15,7
101,75,56,m,15,7
102,90,56,m,15,7
103,105,56,m,15,7
104,120,56,m,15,7
105,135,56,m,15,7
106,150,56,m,15,7
107,165,56,m,13,7
108,0,63,m,15,7
109,15,63,m,15,7
110,30,63,m,15,7
111,45,63,m,15,7
112,60,63,m,15,7
113,75,63,m,15,7
114,90,63,m,15,7
115,105,63,m,15,7
116,120,63,m,15,7
117,135,63,m,15,7
118,150,63,m,15,7
119,165,63,m,13,7
